country_code,data_level,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
AUS,national,,0.6248691647477511,,0.6610843625706528,0.6765752564370957,,,,0.7682646012141532,,0.804689135440655,,,,0.8882143604772869,,0.9131253925057562,,0.9487125811178588,,0.9721582583211252,,,,
FJI,national,,,0.5829250893285607,,,,,,0.7358967100205109,,,,,0.8858006656356577,,,,,,1.0210559266601942,,,,,
FSM,national,0.601492002151322,,,,,0.6446989196965038,,,,,,,,0.9326302643586336,,,,,,,,,,,
IDN,national,0.25946667855691,0.2831271348846282,0.3269397934388887,0.3528131507681414,0.3614145677845113,0.3896572284010177,0.4587750243092828,0.4897725806201485,0.5433496198872685,0.5675757923679614,0.6117023532509781,0.6513888381037731,0.6530233442971578,0.7124352431370965,0.7746245687532606,0.837784697328579,0.8582572684687136,0.8831619233961799,0.9169173279302166,0.9399410955801908,0.9717049236724422,0.9693998497867136,1.0258827718797132,1.0849669200543297,1.114301314095147
JPN,national,,,,,,,,,0.9705662441699152,0.9574360948615924,0.9504635968280076,0.9478740273161114,0.9474563431182867,0.9506306705071376,0.9768607305282118,0.984629511578518,0.9833764589850432,0.9881379863256284,0.997911579010876,1.002589569511896,1.0023389589932012,,,,
KIR,national,,,,,,,0.7648163446373455,,,,,,,,,,,,,0.9620681622586624,,,,,
KOR,national,,,,,,,0.742267314153297,,0.7966527965453664,,0.8426738384464538,,0.8957714452944131,,0.9189962157083528,,0.9344802317661652,0.952649614916726,0.9667092015338784,0.9704117151413711,0.9756255795022056,1.0,,,
LAO,national,,,0.3523655831813812,,,,,0.6012217998504639,,,,,0.768960177898407,,,,,,0.8998957872390747,,,,,,
MHL,national,,,,,,,,,,,,,,,,,,,,0.9812687229372246,,,,,
MMR,national,,,,,,,,,,,,,,,,0.664841037,,0.775978231,,,,,,,
MNG,national,,,0.2057617313742683,,,,,0.3448092405212759,,,0.4584416899888803,0.497002214141292,0.568224295338971,,0.7047695256035095,,0.750657135198327,,0.8363763435805571,,,,1.151479526538077,,
MYS,national,,,,0.6843858943307879,,,0.7421776021957661,,0.7961925161129042,,,0.8384453888580059,,0.8703365205947697,,0.9357438075198472,,,0.983557465876058,,,1.015542007011224,,,
NRU,national,,,,,,,,,,,,,0.7449175829055574,,,,,,,,,,,,
PHL,national,0.4613959570778019,,,0.5109010732319461,,,0.6018862368384781,,,0.6985391155864323,,,0.7821592363015191,,,0.8368315309700505,,,0.917769456795384,,,1.0,,1.1214717408508463,
PNG,national,,,,,,,,,,0.5743883973349854,,,,,,,,,,,,,,,
SLB,national,,,,,,0.5068053512784731,,,,,,,0.8661829098791017,,,,,,,,,,,,
THA,national,0.6803545847471464,,0.6962446767896385,,0.7283644243020847,,0.7967462576050296,0.8146056162046109,0.8591522443364209,0.8516580258064178,0.8795900704406212,0.9130918276813584,0.9406206239686012,0.9611721300028648,0.9793876946642976,0.9705690445523992,0.97239517103226,0.978867746554421,0.9892818750236134,0.9962733920447,0.9878455754113666,1.0,0.9838931510660648,1.067308114955239,
TLS,national,,0.4178237820793709,,,,,,0.5577408209459321,,,,,,,0.9282873696842532,,,,,,,,,,
TON,national,0.3737281023775124,,,,,,,,,0.7124664524787909,,,,,,0.8104832373825076,,,,,,1.0,,,
TUV,national,,,,,,,,,,,0.7471323459626312,,,,,,,,,,,,,,
TWN,national,0.8192300000000001,,,,,0.84753,,0.86793,,,0.8993099999999999,,,0.93711,,,0.95857,0.96453,0.97755,0.9830200000000002,0.98068,1.0,,,
VNM,national,,,0.284100158599588,,0.3044830824830243,,0.3633729912584381,,0.4415083772350566,,0.5582138791893494,,0.7342521829899431,,0.8290048801243804,,0.8434574836794156,,0.9109716145100264,,0.9943717253352532,,1.0038351244047714,,
VUT,national,,,,,,,,,,,0.7919984453796676,,,,,,,,,0.9380472509844008,,,,,
WSM,national,,,0.5397937422758521,,,,,,0.7820409849496471,,,,,0.9044749024290402,,,,,,,,,,,
